Reference,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0402_1005Metric","132.05","-110.85","0","Top"
"C2","100nF","C_0402_1005Metric","129.9","-111.3","90","Top"
"C3","100nF","C_0402_1005Metric","127.7","-119.25","180","Top"
"C4","100nF","C_0402_1005Metric","132.05","-111.85","0","Top"
"C5","10uF","C_0603_1608Metric","121.9","-112","270","Top"
"C6","10uF","C_0603_1608Metric","124.9","-114.7","180","Top"
"C7","100nF","C_0402_1005Metric","117.25","-120.25","270","Top"
"C8","10nF","C_0402_1005Metric","135.75","-118.25","0","Top"
"C9","10nF","C_0402_1005Metric","137.5","-112","180","Top"
"C10","33nF","C_0402_1005Metric","135.5","-112","0","Top"
"C11","1nF","C_0402_1005Metric","140","-111.5","270","Top"
"C12","12pF","C_0402_1005Metric","135.6","-121.15","90","Top"
"C13","2.2nF","C_0402_1005Metric","143","-117","0","Top"
"C14","12pF","C_0402_1005Metric","140.9","-120.1","270","Top"
"C15","4.7pF","C_0402_1005Metric","143","-118","0","Top"
"C16","1.5pF","C_0402_1005Metric","144","-115","180","Top"
"C17","1.0pF","C_0402_1005Metric","145.5","-114.5","270","Top"
"C18","10uF","C_0603_1608Metric","136.95","-110.75","0","Top"
"F1","100mA","Fuse_1206_3216Metric_Castellated","118.2","-111.5","90","Top"
"FB1","100R @ 100MHz","L_0805_2012Metric","120.2","-112.25","270","Top"
"J3","SMA","SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount","148.75","-115.5","0","Top"
"L1","8.2nH","L_0402_1005Metric","140.5","-115.5","90","Top"
"L2","2.7nH","L_0402_1005Metric","141.5","-116.5","270","Top"
"L3","3.9nH","L_0402_1005Metric","142","-115","180","Top"
"LD1","GR","LED_0603_1608Metric","127.1","-110.75","270","Top"
"LD2","YE","LED_0603_1608Metric","128.65","-110.75","270","Top"
"R1","1k","R_0402_1005Metric","125.3","-109.8","180","Top"
"R2","1k","R_0402_1005Metric","131.1","-109.4","0","Top"
"R3","22k","R_0402_1005Metric","133.5","-111.4","90","Top"
"R4","22k","R_0402_1005Metric","139","-111.5","90","Top"
"R5","1M","R_0402_1005Metric","138.5","-118.25","180","Top"
"R6","5k1","R_0402_1005Metric","118","-114.6","180","Top"
"R7","5k1","R_0402_1005Metric","117.25","-117.75","90","Top"
"U1","XC6206P332MR","SOT-23","124.5","-112.2","270","Top"
"U2","USBLC6-2SC6","SOT-23-6","121.25","-116","0","Top"
"U3","STM32L432KBUx","QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm","129.9","-115.5","270","Top"
"U4","nRF24L01P","QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","137.12","-115.12","270","Top"
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm","138.25","-120.5","0","Top"
